날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Jun 01, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,26564,,133,,0.501%,$136.03,,$1.022782,$0.0,19,47.404%,2.11,$286.96
"Jun 01, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,1435,,33,,2.3%,$43.44,,$1.3163635999999999,$0.0,11,20.935000000000002%,4.78,$207.5
"Jun 01, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,3099,,30,,0.968%,$42.2,,$1.4066667000000002,$0.0,3,103.43100000000001%,0.97,$40.8
"Jun 02, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,3066,,56,,1.8259999999999998%,$42.23,,$0.7541070999999999,$0.0,15,15.306000000000001%,6.53,$275.9
"Jun 02, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,18198,,103,,0.5660000000000001%,$59.74,,$0.58,$0.0,17,25.085%,3.99,$238.15
"Jun 02, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,9207,,54,,0.587%,$37.56,,$0.6955556,$0.0,7,37.485%,2.67,$100.2
"Jun 02, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,1259,,15,,1.191%,$9.81,,$0.654,$0.0,1,57.706%,1.73,$17.0
"Jun 03, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,9401,,69,,0.734%,$295.57,,$4.2836232,$0.0,14,108.271%,0.92,$272.99
"Jun 03, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,3149,,31,,0.984%,$21.91,,$0.7067742,$0.0,2,57.658%,1.73,$38.0
"Jun 03, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,24389,,126,,0.517%,$73.53,,$0.5835714,$0.0,17,31.202999999999996%,3.2,$235.65
"Jun 03, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,18578,,109,,0.587%,$79.54,,$0.7297248000000001,$0.0,22,23.383000000000003%,4.28,$340.16
"Jun 04, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,3121,,47,,1.506%,$31.24,,$0.6646809,$0.0,11,16.644000000000002%,6.01,$187.7
"Jun 04, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,7135,,28,,0.392%,$131.17,,$4.6846429,$0.0,3,171.017%,0.58,$76.7
"Jun 04, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,18371,,104,,0.5660000000000001%,$61.11,,$0.5875962,$0.0,14,35.343999999999994%,2.83,$172.9
